year,SDI,incident_val,overweight,incident_Global,gylow,gyupp,overweight_1.20,gincident_1.20,gylow_1.20,gyupp_1.20
1990,0.458668935,163.3423675,13.35,163.3423675,163.3423675,163.3423675,13.35,163.3423675,163.3423675,163.3423675
1991,0.46730197,170.109109,13.97,170.109109,170.109109,170.109109,13.97,170.109109,170.109109,170.109109
1992,0.475784031,176.3546867,14.62,176.3546867,176.3546867,176.3546867,14.62,176.3546867,176.3546867,176.3546867
1993,0.484353831,181.5545789,15.28,181.5545789,181.5545789,181.5545789,15.28,181.5545789,181.5545789,181.5545789
1994,0.492578645,185.2001788,15.93,185.2001788,185.2001788,185.2001788,15.93,185.2001788,185.2001788,185.2001788
1995,0.501500908,186.7858083,16.58,186.7858083,186.7858083,186.7858083,16.58,186.7858083,186.7858083,186.7858083
1996,0.512033996,188.4264776,17.22,188.4264776,188.4264776,188.4264776,17.22,188.4264776,188.4264776,188.4264776
1997,0.522326866,191.7940707,17.85,191.7940707,191.7940707,191.7940707,17.85,191.7940707,191.7940707,191.7940707
1998,0.531379484,195.6771043,18.48,195.6771043,195.6771043,195.6771043,18.48,195.6771043,195.6771043,195.6771043
1999,0.540333688,198.9306823,19.1,198.9306823,198.9306823,198.9306823,19.1,198.9306823,198.9306823,198.9306823
2000,0.547989193,200.3993253,19.71,200.3993253,200.3993253,200.3993253,19.71,200.3993253,200.3993253,200.3993253
2001,0.553680374,200.2222383,20.31,200.2222383,200.2222383,200.2222383,20.31,200.2222383,200.2222383,200.2222383
2002,0.560542936,199.5576348,20.92,199.5576348,199.5576348,199.5576348,20.92,199.5576348,199.5576348,199.5576348
2003,0.569018827,198.8559196,21.53,198.8559196,198.8559196,198.8559196,21.53,198.8559196,198.8559196,198.8559196
2004,0.578178091,198.5976797,22.16,198.5976797,198.5976797,198.5976797,22.16,198.5976797,198.5976797,198.5976797
2005,0.588052194,199.2163005,22.81,199.2163005,199.2163005,199.2163005,22.81,199.2163005,199.2163005,199.2163005
2006,0.59875817,200.9688102,23.51,200.9688102,200.9688102,200.9688102,23.51,200.9688102,200.9688102,200.9688102
2007,0.609520246,203.524688,24.23,203.524688,203.524688,203.524688,24.23,203.524688,203.524688,203.524688
2008,0.619454833,206.5556072,24.98,206.5556072,206.5556072,206.5556072,24.98,206.5556072,206.5556072,206.5556072
2009,0.629307727,209.7298178,25.76,209.7298178,209.7298178,209.7298178,25.76,209.7298178,209.7298178,209.7298178
2010,0.641521443,212.7021829,26.55,212.7021829,212.7021829,212.7021829,26.55,212.7021829,212.7021829,212.7021829
2011,0.651447978,215.8920642,27.34,215.8920642,215.8920642,215.8920642,27.34,215.8920642,215.8920642,215.8920642
2012,0.657144292,219.6363436,28.16,219.6363436,219.6363436,219.6363436,28.16,219.6363436,219.6363436,219.6363436
2013,0.663103007,223.5342455,29.03,223.5342455,223.5342455,223.5342455,29.03,223.5342455,223.5342455,223.5342455
2014,0.668640847,227.1832904,29.93,227.1832904,227.1832904,227.1832904,29.93,227.1832904,227.1832904,227.1832904
2015,0.671940111,230.1701983,30.86,230.1701983,230.1701983,230.1701983,30.86,230.1701983,230.1701983,230.1701983
2016,0.676218437,232.5805973,31.8,232.5805973,232.5805973,232.5805973,31.8,232.5805973,232.5805973,232.5805973
